event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX is in a lot of pain,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""to help PersonX"", ""to give PersonX relief""]","[""scared"", ""hurt"", ""unwell"", ""desperate"", ""hurt"", ""anguished""]","[""gets treated by a doctor"", ""screams in pain"", ""takes medicine"", ""cries""]","[""none"", ""none""]","[""to get an injured"", ""to get ill"", ""to be in an accident"", ""to have their nerves damaged"", ""none"", ""none""]","[""pain"", ""anger"", ""upset"", ""uncomfortable"", ""grumpy""]","[""to get well"", ""to take pain killers"", ""to go to bed"", ""to go to the doctor"", ""to take some medicine"", ""go to the doctor"", ""to sit down"", ""to make the pain stop""]","[""lot"", ""pain""]",trn
PersonX is in a lot of trouble,"[""none"", ""face flushes"", ""tightens fists""]","[""none"", ""bad"", ""sorry""]","[""none"", ""punish personx"", ""forgive personx"", ""to arrest personX"", ""To stop personx from hurting others""]","[""bad"", ""micheivous"", ""guilty"", ""in danger"", ""troublesome"", ""wicked""]","[""get stress relief medicine to relax"", ""get ideas to solve the issues"", ""heart pounds"", ""palms sweat""]","[""none"", ""to be mischievious""]","[""to do something dumb"", ""to do something bad"", ""do something to cause trouble"", ""ignore a command"", ""to misbehave"", ""to steal from the rich""]","[""anxious"", ""bad"", ""in trouble"", ""frustrated"", ""expecting help""]","[""to avoid punishment"", ""to plead their case"", ""apologize for their actions"", ""pay for what they did"", ""to get out of trouble"", ""to get out of jail""]","[""lot"", ""trouble""]",trn
PersonX is in a new city,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""to show them around"", ""to get to know him""]","[""adventurous"", ""nervous"", ""nervous"", ""concerned"", ""adventerous"", ""motivated"", ""social"", ""openminded""]","[""new friends"", ""new job"", ""looks at map."", ""puts address into GPS."", ""none""]","[""to explore"", ""none""]","[""none"", ""research"", ""planning""]","[""excited"", ""interested"", ""overwhelmed""]","[""to meet new people"", ""to find a home"", ""see the sites"", ""get comfortable in his home""]","[""new"", ""city""]",trn
PersonX is in and out,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""topsy-turvy"", ""busy"", ""indecisive"", ""hesitant"", ""prepared"", ""organized""]","[""none"", ""Quick"", ""Sneaky"", ""none""]","[""none""]","[""to inside his house"", ""leave his house"", ""move house"", ""throw a party"", ""none""]","[""groggy""]","[""check on his sick dog at home"", ""go back to work"", ""unload packages"", ""take care of guests"", ""to regain consciousness"", ""to fight for their life""]",[],trn
PersonX is in art class,"[""none"", ""none"", ""none""]","[""none"", ""curious"", ""none""]","[""to take attendance"", ""to hand out canvas'"", ""none"", ""none""]","[""creative"", ""curious"", ""Creative"", ""Experimental"", ""artistic"", ""sensitive"", ""creative"", ""aesthetic""]","[""gains knowledge"", ""builds skill"", ""learns about art"", ""listens"", ""learns a new drawing"", ""gets teacher's praise""]","[""none"", ""to learn how to paint"", ""to learn how to draw"", ""to appreciate the great artists"", ""learn to paint""]","[""to sign up for class"", ""to attend said class"", ""to enroll in a class"", ""to buy art supplies"", ""to develop an appreciation for art"", ""enroll in the art class""]","[""creative"", ""creative"", ""clever""]","[""to sharpen pencils"", ""to draw on canvas"", ""to make an art project"", ""to take an evaluation"", ""learn to draw"", ""become an artist""]","[""art"", ""class""]",trn
PersonX is in bad shape,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""compassionate"", ""nan""]","[""none"", ""none"", ""none""]","[""irresponsible"", ""overweight"", ""unhappy"", ""scared""]","[""starts exercising"", ""begins eating healthy"", ""person x gets stronder"", ""person x gets faster"", ""gets diabetes"", ""gets no date""]","[""none"", ""none"", ""none""]","[""none"", ""to ate lot bad food"", ""to get fat"", ""none""]","[""depressed"", ""frustrated"", ""miserable"", ""sick"", ""worthless""]","[""to rest"", ""to eat and drink"", ""to slim the body shape"", ""to eat only healthy food"", ""to join the gym"", ""to start a diet""]","[""bad"", ""shape""]",trn
PersonX is in big trouble,"[""none"", ""none""]","[""good he knows what he did wrong"", ""annoyed""]","[""none"", ""to help him"", ""to save him soon""]","[""irresponsible"", ""bad"", ""careless"", ""rude"", ""agressive"", ""meddlesome""]","[""calls for help"", ""runs away"", ""to face the big trouble"", ""a big trouble face the all problem""]","[""none"", ""to do something bad""]","[""TO DO SOMETHING WRONG"", ""TO HAVE A THOUGHT OF WHAT TO DO"", ""TO REACT"", ""none""]","[""bad for doing something wrong"", ""like they did something bad""]","[""TO CORRECT THE SITUATION"", ""TO NOT GET INTO TROUBLE"", ""TO APOLOGIZE FOR THE SITUATION"", ""to escape from the problem"", ""to solve the problem""]","[""big"", ""trouble""]",trn
PersonX is in control of PersonY's time,"[""gets late"", ""loses contract"", ""has to forgo decisions"", ""has to forgo social events""]","[""controlled"", ""subordinate""]","[""flee from person x"", ""report person x to the authorities"", ""to be organized"", ""to succeed"", ""to revolt against him"", ""to get rid of him""]","[""supervising"", ""governing"", ""dominant"", ""superior"", ""bossy"", ""leading""]","[""gets yelled at"", ""gets asked"", ""none""]","[""to be controlling""]","[""move in with person Y"", ""learn person Y schedule"", ""to have a relationship"", ""to have power"", ""to dominate him"", ""to dictate him""]","[""dominant"", ""superior""]","[""control other people"", ""continue to control person y"", ""to make good use of time"", ""to help PersonY"", ""to get work done by him"", ""to exercise his rule over him""]","[""control"", ""time""]",trn
PersonX is in dire need of money,"[""gets robbed"", ""gets hurt in robbery if a weapon is used"", ""none""]","[""none"", ""none""]","[""none"", ""to hire x"", ""to donate to x"", ""none""]","[""desperate"", ""needy"", ""poor"", ""unhappy"", ""poor"", ""spend thrifty"", ""poor"", ""struggling""]","[""robs bank"", ""sells blood"", ""starves to death"", ""has power shut off"", ""calls friends and family for money"", ""starts stealing""]","[""none"", ""none""]","[""spend too much"", ""lose a job"", ""none"", ""to spend too much"", ""to get many demands from his family""]","[""desperate"", ""mentally strained""]","[""ask for a loan"", ""find employment"", ""to work"", ""to raise funds"", ""to ask for financial help"", ""to earn more money"", ""get a new job""]","[""dire"", ""need""]",trn
PersonX is in first grade,"[""none"", ""none"", ""none""]","[""glad"", ""none""]","[""to see him do well"", ""to encourage him"", ""to make friends"", ""to make the teacher happy"", ""to learn"", ""none""]","[""victorious"", ""well talented"", ""young"", ""curious"", ""adolescent"", ""young"", ""young"", ""learning""]","[""PersonX loses a tooth"", ""PersonX learns to read"", ""learns vocabulary"", ""learns social skills"", ""is overwhelmed"", ""learns new things every day""]","[""none"", ""none""]","[""to pass kindergarten"", ""a ride from parent"", ""register for school"", ""get schedule"", ""to study"", ""to give hardwork""]","[""excited"", ""nervous"", ""tired""]","[""learns to spell"", ""learns math"", ""to graduate"", ""to spend time with friends"", ""to learn"", ""to come out in flying colours"", ""to learn well""]","[""first"", ""grade""]",dev
PersonX is in good shape,"[""PersonX's kids have a more active parent"", ""PersonX maintains a better sex life with his/her partner."", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""healthy"", ""strong"", ""strong willed"", ""Fit"", ""Active"", ""healthy"", ""hard worker""]","[""PersonX no longer has breathing issues and sleeps better"", ""PersonX's blood pressure goes down"", ""exercises"", ""eats healthy""]","[""to be healthy"", ""to be attractive"", ""to stay healthy and fit"", ""none""]","[""to eat right"", ""to exercise"", ""to have been exercising"", ""to have been eating healthy""]","[""accomplishment"", ""responsible for their health"", ""proud about it""]","[""to get a date"", ""to put on a new dress"", ""to enter a modeling competition"", ""to open a gym""]","[""good"", ""shape""]",trn
PersonX is in grade school,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""young"", ""learning"", ""hardworking"", ""studious"", ""young"", ""lively""]","[""taking responsibility"", ""study hard"", ""spend money a lot"", ""moving new house"", ""none"", ""becomes proud of himself"", ""gets a good way to build his career""]","[""none"", ""none""]","[""get dressed"", ""go to school"", ""none"", ""none""]","[""bored"", ""educated"", ""educated""]","[""relax at home"", ""have dinner"", ""to learn new things"", ""to make new friends"", ""to look forward to going back home"", ""to go on to middle school"", ""to continue their studies""]","[""grade"", ""school""]",trn
PersonX is in great shape,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""to notice"", ""to do the same"", ""none""]","[""fit"", ""healthy"", ""active"", ""focused"", ""fit"", ""athletic"", ""fit"", ""healthy""]","[""Lifts weights"", ""Runs"", ""gets complimented"", ""becomes a model""]","[""none"", ""to be healthy"", ""to be healthy""]","[""to eat healthy"", ""to do yard work"", ""to work out"", ""to lift weights"", ""be in shape""]","[""healthy"", ""positive"", ""health"", ""in shape""]","[""to keep doing what they are doing"", ""to get lots done"", ""to keep working out"", ""to show others how to be in shape"", ""to be a role model""]","[""great"", ""shape""]",trn
PersonX is in gym class,"[""none"", ""wants them to learn to be fair"", ""wants them to get some exercise""]","[""none"", ""tired"", ""nervous"", ""none""]","[""none"", ""none"", ""none""]","[""determined"", ""hardworking"", ""active"", ""dedicated"", ""athletic"", ""dedicated"", ""committed""]","[""takes a shower"", ""gets dressed"", ""want's it to be over"", ""get's some exercise""]","[""to get fit"", ""to be healthier"", ""to get a good grade"", ""none"", ""to get in better shape.""]","[""to drive to the gym"", ""sign up for a membership"", ""needs to go to gym"", ""to enrol in the gym class"", ""to pay for the class"", ""to look at the class schedule"", ""none""]","[""bored"", ""tired"", ""energized"", ""wore out and exhausted.""]","[""to lose some weight"", ""to get in shape"", ""to give up"", ""to push everybody to their limits"", ""to go for a swim"", ""participate in class"", ""take a shower""]","[""gym"", ""class""]",trn
PersonX is in high school,"[""receive gratitude for helping personx"", ""receive condanment for not helping person enough""]","[""none"", ""encouraging"", ""none""]","[""none"", ""none"", ""none"", ""none""]","[""studious"", ""intelligent"", ""bored"", ""tired"", ""young"", ""studious""]","[""gets stressed because of the tests"", ""receives encouragement to learn new skills"", ""gains new knowledge""]","[""none"", ""to go to college"", ""none""]","[""none"", ""sign up for school"", ""be young"", ""to pass the middle school"", ""to write exam"", ""to go through the primary"", ""to study""]","[""bored"", ""intelligent"", ""determined""]","[""to go to college after he graduates"", ""to get a job after he graduates"", ""to graduate"", ""get good grades"", ""to study sincerely"", ""to be graduate"", ""to go to the University"", ""to get a degree""]","[""high"", ""school""]",dev
PersonX is in middle school,"[""none"", ""none""]","[""none""]","[""none"", ""to study"", ""to get good grades""]","[""adolescent"", ""teen"", ""silly"", ""studious""]","[""learns a lot"", ""skips classes"", ""gets teased"", ""learns spanish""]","[""none""]","[""to enter school"", ""to pick classes"", ""none""]","[""awkward"", ""happy"", ""nervous""]","[""to study"", ""to learn"", ""to study"", ""to get good grades""]","[""middle"", ""school""]",trn
PersonX is in new york,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""happy"", ""adventurous"", ""busy"", ""fast paced"", ""hard-working"", ""tired""]","[""Goes to Times Square"", ""Takes many clicks"", ""Gets mugged"", ""Falls in love with the area and thinks about moving there""]","[""none"", ""to see the statue of liberty""]","[""to get on the train"", ""to ride the rails"", ""to book a flight"", ""to get on a plane""]","[""adventurous"", ""excited"", ""eager""]","[""to visit the city"", ""to see the sights"", ""to see the sights"", ""to go home""]","[""new"", ""york""]",trn
PersonX is in so much pain,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""foolish"", ""emotional"", ""faint""]","[""starts to sweat"", ""starts to move around"", ""starts to cry"", ""cries"", ""falls over""]","[""none"", ""none"", ""get better""]","[""none"", ""to have fallen down a tree"", ""to have been beaten up during a fight"", ""to have gotten into an accident"", ""none""]","[""frustrated"", ""sad"", ""depressed"", ""upset"", ""exhausted"", ""healthier""]","[""to lay in bed"", ""to hope to feel better"", ""to see a doctor"", ""to scream in pain"", ""to take some medication"", ""to get medical attention"", ""to recover""]","[""much"", ""pain""]",trn
